stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
101014,"WILLIS AV/E 138 ST","",40.80893,-73.922855,"","",0,""
101015,"WILLIS AV/E 140 ST","",40.810634,-73.921632,"","",0,""
101017,"WILLIS AV/E 144 ST","",40.813111,-73.919823,"","",0,""
101018,"WILLIS AV/E 146 ST","",40.814368,-73.918968,"","",0,""
101069,"WILLIS AV/E 144 ST","",40.812711,-73.920405,"","",0,""
101071,"WILLIS AV/E 141 ST","",40.810837,-73.921772,"","",0,""
101072,"WILLIS AV/E 138 ST","",40.809254,-73.922909,"","",0,""
101074,"E 138 ST/3 AV","",40.810945,-73.926956,"","",0,""
102839,"LINCOLN AV/BRUCKNER BlVD","",40.807938,-73.929474,"","",0,""
103708,"BERGEN AV/E 149 ST","",40.815878,-73.916343,"","",0,""
400003,"4 AV/E 13 ST","",40.733936,-73.98972,"","",0,""
400007,"PARK AV SOUTH/E 21 ST","",40.738976,-73.987053,"","",0,""
400018,"MADISON AV/E 43 ST","",40.753349,-73.978759,"","",0,""
400019,"MADISON AV/E 46 ST","",40.755228,-73.97739,"","",0,""
400021,"MADISON AV/E 50 ST","",40.757739,-73.975556,"","",0,""
400022,"MADISON AV/E 53 ST","",40.759606,-73.974198,"","",0,""
400023,"MADISON AV/E 56 ST","",40.761496,-73.972818,"","",0,""
400024,"MADISON AV/E 58 ST","",40.762701,-73.971959,"","",0,""
400026,"MADISON AV/E 63 ST","",40.766274,-73.969329,"","",0,""
400028,"MADISON AV/E 67 ST","",40.768812,-73.967483,"","",0,""
400029,"MADISON AV/E 69 ST","",40.770075,-73.966558,"","",0,""
400030,"MADISON AV/E 72 ST","",40.772141,-73.96508,"","",0,""
400031,"MADISON AV/E 74 ST","",40.77345,-73.964142,"","",0,""
400032,"MADISON AV/E 77 ST","",40.775322,-73.962739,"","",0,""
400033,"MADISON AV/E 79 ST","",40.776647,-73.961823,"","",0,""
400034,"MADISON AV/E 83 ST","",40.778793,-73.960206,"","",0,""
400036,"MADISON AV/E 86 ST","",40.781155,-73.958483,"","",0,""
400037,"MADISON AV/E 89 ST","",40.782676,-73.957373,"","",0,""
400038,"MADISON AV/E 91 ST","",40.78436,-73.956137,"","",0,""
400039,"MADISON AV/E 93 ST","",40.785636,-73.955205,"","",0,""
400041,"MADISON AV/E 98 ST","",40.788413,-73.95318,"","",0,""
400042,"MADISON AV/E 101 ST","",40.790304,-73.951799,"","",0,""
400043,"MADISON AV/E 102 ST","",40.791371,-73.951022,"","",0,""
400044,"MADISON AV/E 104 ST","",40.792159,-73.950447,"","",0,""
400045,"MADISON AV/E 106 ST","",40.793434,-73.949511,"","",0,""
400046,"MADISON AV/E 107 ST","",40.794551,-73.948694,"","",0,""
400047,"MADISON AV/E 109 ST","",40.795813,-73.947779,"","",0,""
400051,"MADISON AV/E 118 ST","",40.801507,-73.943618,"","",0,""
400053,"MADISON AV/E 123 ST","",40.804777,-73.941328,"","",0,""
400054,"MADISON AV/E 125 ST","",40.806015,-73.940348,"","",0,""
400055,"MADISON AV/E 127 ST","",40.807247,-73.939459,"","",0,""
400056,"MADISON AV/E 129 ST","",40.808511,-73.938536,"","",0,""
400057,"MADISON AV/E 132 ST","",40.810426,-73.937108,"","",0,""
400059,"5 AV/E 135 ST","",40.813125,-73.937224,"","",0,""
400060,"5 AV/E 138 ST","",40.814463,-73.936251,"","",0,""
400061,"W 139 ST/5 AV","",40.815616,-73.936283,"","",0,""
400062,"MALCOLM X BLVD/W 139 ST","",40.81694,-73.938615,"","",0,""
400065,"MALCOLM X BLVD/W 145 ST","",40.82068,-73.935873,"","",0,""
400066,"W 147 ST/MALCOLM X BLVD","",40.821952,-73.935729,"","",0,""
400067,"W 147 ST/ADAM C POWELL BLVD","",40.822853,-73.937867,"","",0,""
400070,"TRINITY PL/RECTOR ST","",40.708007,-74.012714,"","",0,""
400071,"CHURCH ST/LIBERTY ST","",40.710016,-74.011358,"","",0,""
400080,"CENTRE ST/BROOME ST","",40.720678,-73.997674,"","",0,""
400081,"CLEVELAND  PL/SPRING ST","",40.722433,-73.997008,"","",0,""
400085,"LAFAYETTE ST/E 4 ST","",40.728066,-73.992849,"","",0,""
400086,"LAFAYETTE ST/ASTOR PL","",40.729751,-73.991427,"","",0,""
400087,"W 146 ST/MALCOLM X BLVD","",40.821178,-73.935956,"","",0,""
400088,"MALCOLM X BLVD/W 145 ST","",40.820359,-73.93646,"","",0,""
400089,"MALCOLM X BLVD/W 142 ST","",40.818247,-73.938003,"","",0,""
400091,"W 139 ST/MALCOLM X BLVD","",40.816381,-73.938746,"","",0,""
400092,"5 AV/W 138 ST","",40.815202,-73.93598,"","",0,""
400093,"5 AV/W 137 ST","",40.813791,-73.937003,"","",0,""
400094,"5 AV/W 135 ST","",40.812365,-73.938045,"","",0,""
400095,"5 AV/W 132 ST","",40.81062,-73.939282,"","",0,""
400096,"5 AV/W 130 ST","",40.809347,-73.940208,"","",0,""
400097,"5 AV/W 128 ST","",40.808076,-73.941141,"","",0,""
400098,"5 AV/W 125 ST","",40.806137,-73.942555,"","",0,""
400099,"MOUNT MORRIS PARK WEST/W 124 ST","",40.80619,-73.944603,"","",0,""
400102,"5 AV/W 118 ST","",40.801694,-73.945835,"","",0,""
400103,"5 AV/W 116 ST","",40.800355,-73.946815,"","",0,""
400105,"5 AV/W 112 ST","",40.79786,-73.948595,"","",0,""
400107,"5 AV/E 109 ST","",40.796533,-73.94957,"","",0,""
400108,"5 AV/E 108 ST","",40.795513,-73.950319,"","",0,""
400109,"5 AV/E 106 ST","",40.794176,-73.951287,"","",0,""
400110,"5 AV/E 104 ST","",40.792922,-73.952153,"","",0,""
400111,"5 AV/E 102 ST","",40.79157,-73.953182,"","",0,""
400115,"5 AV/E 94 ST","",40.786559,-73.956865,"","",0,""
400116,"5 AV/E 92 ST","",40.785205,-73.957824,"","",0,""
400117,"5 AV/E 90 ST","",40.783993,-73.958712,"","",0,""
400118,"5 AV/E 87 ST","",40.782181,-73.960036,"","",0,""
400119,"5 AV/E 84 ST","",40.780435,-73.961321,"","",0,""
400120,"5 AV/E 80 ST","",40.777791,-73.963228,"","",0,""
400121,"5 AV/E 79 ST","",40.776724,-73.963977,"","",0,""
400122,"5 AV/E 77 ST","",40.77561,-73.964837,"","",0,""
400123,"5 AV/E 75 ST","",40.774356,-73.965776,"","",0,""
400124,"5 AV/E 72 ST","",40.771976,-73.967447,"","",0,""
400125,"5 AV/E 69 ST","",40.770259,-73.968739,"","",0,""
400126,"5 AV/E 66 ST","",40.768234,-73.970238,"","",0,""
400127,"5 AV/E 63 ST","",40.766715,-73.971292,"","",0,""
400128,"5 AV/E 61 ST","",40.76568,-73.972026,"","",0,""
400129,"5 AV/E 60 ST","",40.765226,-73.972459,"","",0,""
400131,"5 AV/W 53 ST","",40.760147,-73.976147,"","",0,""
400133,"5 AV/W 47 ST","",40.756381,-73.978884,"","",0,""
400135,"5 AV/W 42 ST","",40.753141,-73.981216,"","",0,""
400153,"BROADWAY/WAVERLY PL","",40.7294,-73.993516,"","",0,""
400154,"BROADWAY/W 3 ST","",40.727539,-73.9951,"","",0,""
400155,"BROADWAY/BLEECKER ST","",40.726263,-73.996172,"","",0,""
400157,"BROADWAY/SPRING ST","",40.722843,-73.999066,"","",0,""
400159,"BROADWAY/GRAND ST","",40.720691,-74.000891,"","",0,""
400166,"BROADWAY/PARK PL","",40.712679,-74.007665,"","",0,""
400168,"BROADWAY/CORTLANDT ST","",40.709969,-74.009942,"","",0,""
400170,"BROADWAY/RECTOR ST","",40.707554,-74.01196,"","",0,""
400176,"E 9 ST/BROADWAY","",40.731425,-73.992408,"","",0,""
400190,"MADISON AV/E 35 ST","",40.748313,-73.982456,"","",0,""
400191,"MADISON AV/E 37 ST","",40.749808,-73.981344,"","",0,""
400224,"CENTRAL PARK NORTH/MALCOLM X BLVD","",40.798395,-73.952601,"","",0,""
400225,"CENTRAL PARK NORTH/ADAM C POWELL BLVD","",40.799354,-73.954975,"","",0,""
